Filename,Checked,Keywords
Argentina_New_Allocation_for_60GHz_Devices_docx.txt,"Dell, Internal, Importation, New, Wireless, Mandatory, WiGig, Other, New","date, devices, wireless, 2017, band, additional, argentina, certification, enacom, power, shall, yes, 57, area, comments, exceed, indicate, required, sample, wigig, 10, 11ad, 802, change, completion, dbm, deliverable, effective, eirp, equivalent, frequency, ghz, grs, guidance, isotropic, issued, local, plan, product, radiated, registered, resources, stakeholder, systems, 30, 32, 64, 64ghz, action, allocation, average, battery, block, bulletin, compliance, configuration, current, cut, documents, function, hard, impact, include, iot, lead, mar, multiple, needed, network, new, obtain, peak, personal, process, products, psu, rdoc, regulation, requirement, requirements, soft, specifications, time, title, total, transition, update, use, using, wlan, ws, 01, 03, 13, 1336, 170314, 40, 43, 500, 60ghz, able, acceptable, accepted, accredited, address, adjusted, agile, allocated, antenna, application, apply, april, assistance, authority, based, bids, brandt, buildings, ce, changed, characteristics, client, cnc, concerns, conducted, contacts, contain, cord, created, cross, cstl, dd, declaration, defined, deliverables, density, detailed, distribution, document, documentation, dt, embed, emissions, enforcement, engineer, established, exceeded, existing, explanation, external, fcc, final, functional, gain, gigabit, gigabits, government, help, host, immediately, implementation, including, inform, initially, inside, internal, inventory, items, keyword, label, labs, limits, links, mandatory, marking, mgw, mhz, modular, module, month, mw, networks, note, number, open, operating, operation, output, packaging, pc, place, platform, provide, publication, qty, quality, questions, rces, reference, registration, regulatory, released, remains, report, reports, resolution, restricted, revision, rfid, ruth, scope, search, ship, sow, specify, spectral, spectrum, stakeholders, standards, status, suitable, surveillance, sustaining, target, targeted, tbd, team, teams, technical, test, unchanged, updated, value, version, voluntary, way, wpan, yyyy"
New_Blue_Guide_in_the_European_Union_docx.txt,,"new, directives, guide, edition, nlf, blue, eu, published, 2000, commission, directive, european, notification, 2014, aligned, available, emc, existing, authorities, bulletin, ce, changes, conformity, covers, electronically, indispensable, instead, introduced, lvd, manufacturers, market, marking, reference, rohs, updated, used, 01, 140328, 19, 2011, 63, actions, affected, aka, anticipated, applicable, applied, applies, applying, approach, aspects, assessment, attempt, author, change, complying, computer, consultation, content, created, currently, declaration, definitions, dell, department, description, desktop, details, displays, driven, editions, effective, enforce, expected, following, force, format, framework, future, grs, immediately, implement, implementation, important, importers, including, industry, information, interpretation, interpreting, issuing, items, kelleher, keyword, legislative, likely, location, low, make, manufacturer, markings, mean, minimum, misunderstandings, mobility, needed, networking, notifications, number, odms, particular, period, peripheral, peter, placement, placing, portable, potential, prepare, primarily, printer, process, product, projectors, refined, requirement, requirements, restrictions, result, rtte, rtted, rttte, rules, search, server, significant, stakeholders, storage, subject, summary, surveillance, targeted, timeframe, title, transition, treated, union, unlike, voltage, website, worked, wrceea, year, years"
EN_62479_2010_for_LVD_Products_docx.txt,"Internal, Importation, New, Safety, Mandatory, New, Tower, AIO, Fixed, Thin, Indust, Gateway, ServerA, ServerB, Storage, Networking, Display, Dock, Audio, Ext, Int","en, 62479, compliance, products, 62311, 2010, product, date, dell, eu, non, radio, required, requirements, 2008, add, contact, doc, impact, inventory, reference, regulatory, report, supplier, task, testing, 01195, 2111, action, additional, agency, battery, bulletin, confluence, current, details, distribution, enforcement, engineer, external, factory, inherently, iot, kelleher, key, l10, l6, label, lvd, mains, morocco, owned, owners, peter, plan, powered, process, psu, rce, rdoc, regulation, requirement, sample, standard, status, uk, ws, 10, 2020, 2021, 2022, 22, 256, 3a2010, address, agent, applicable, approach, area, arm, artwork, assessment, assignments, audit, av, better, bids, box, brown, center, certification, cfi, chain, changed, character, cited, client, com, compliant, concerns, configuration, content, continue, cord, covers, crm, dcs, declaration, declare, deliverable, deliverables, dependency, design, detailed, dev, display, distributor, docs, documentation, doi, dss, dt, edg, emc, emf, engineering, equipment, european, existing, factories, filing, followed, foreseeable, frequencies, fulfill, fulfillment, future, generic, government, grc, group, gsg, gtie, hdell, hemc, high, https, hub, hz, id, idd, identify, iec, implement, include, info, initially, instructions, internal, issued, ite, item, l11, l3, lab, lead, level, limit, link, logistics, lor, lower, mailbox, mandatory, marketing, mean, merge, mhz, mme, new, note, nov, npi, number, odmf, oem, oj, operations, packaging, pc, penalities, platform, procurement, program, project, quantity, questions, referenced, registration, reoccurring, revision, rfid, risk, rm1716, route, rts, safety, sales, scope, seri, service, sheet, shipping, sme, software, specify, stakeholder, stakeholders, standards, statement, summary, supply, surveillance, table, target, tasks, teams, tech, test, times, title, trade, uncertain, using, version, vincent, vmi, voluntary, web, wired, wireless, wlan"
Vietnam___National_Technical_Regulation_on_Electrical_Safety_for_Telecommunication_Terminals_and_Information_Technology___All_Products_docx.txt,"CPG, AIO, Desktop, Fixed, Mobile, Notebook, Rugged, Tablet, Thin, New, Sustaining, Refurbished, Importation, Importation, Market, New, Safety, No, Mandatory","test, 2022, btttt, iec, qcvn, 132, report, product, 2018, 62368, date, mic, vietnam, scope, 17025, 2024, electrical, iso, local, regulation, safety, wireless, according, code, desktop, hs, information, lab, national, requirement, technical, telecommunication, 2023, action, add, computer, dell, issued, note, pc, rdoc, requirements, revision, shall, standard, 27, accepted, accredited, based, bulletin, compliance, các, delete, equipment, goh, january, kongsiang, mra, needed, notebook, odm, products, rce, released, required, tablet, terminal, version, 24, 31, agency, arm, assessment, cb, certificate, circular, composed, confluence, cord, current, danh, details, distributors, drives, enforcement, examples, existing, gov, iot, jan, june, key, laboratories, labs, laptop, list, new, nghiệm, nhận, non, number, oversea, phòng, plan, power, process, program, promulgating, psu, reports, sdoc, st, surveillance, sách, table, task, technology, terminals, thừa, thử, tool, tt, update, upload, v1, vincent, vn, workstation, ws, được, 01701, 15, 20, 2021, 22, 2212, 30, 84713020, 84713090, 84714110, 970715465, accept, accepting, adapter, address, affected, agent, agreement, aio, application, applied, apply, area, assignments, attachment, available, bags, bar, battery, bids, cable, capability, cards, caretaker, cart, cartridge, case, certification, change, changed, checkpoint, chromebook, chỉ, clearance, client, com, companion, concerns, conduct, conform, conformity, corresponding, cp, created, crm, custom, customs, data, december, deliverable, dependency, description, design, detailed, device, devices, di, doc, dongle, drive, effect, electronics, engineer, ensure, example, external, february, federal, filter, final, firmware, fixed, fulfill, government, gtie, headset, high, history, https, identify, impact, impacted, importers, include, initially, intelligent, international, jumper, kb, kvm, laboratory, lead, legislation, level, link, lob, lor, lẫn, mandatory, market, monitor, mouse, mutual, nhau, november, obtain, official, owner, owners, pageid"
Argentina_CNC_New_Labeling_Requirement_docx.txt,"Internal, Wireless, Mandatory, Desktop, Desktop, Fixed, Terminal, Portable, Wireless, Tablet, Phablet, Portable, Docking, Server, Server, Networking, Printer, Projectors, I, Modem, Wireless, Wireless, Wireless, Other, New, Sustaining, Service","cnc, label, product, na, number, requirement, labeling, registration, 2015, ce, end, rtification, wireless, argentina, bulletin, mark, module, new, option, date, electronic, font, id, npi, products, required, size, 15, additional, comments, composed, contiene, design, device, equirements, format, identification, information, labels, logo, manual, marking, odm, platform, printed, renewal, requirements, specifications, update, acronym, approved, change, completion, compliance, configurations, deliverable, displayed, existing, homologated, legend, mandatory, meet, minimum, modules, need, nfiguration, resolution, running, sample, sentence, shall, supply, sustaining, telecom, updated, used, user, visible, yes, access, arial, artwork, associated, block, bold, century, cer, certification, certified, class, client, colors, complete, contains, coordinate, cumentation, current, cut, dell, devices, effective, established, final, gothic, granted, guide, hard, height, include, installed, isologotype, isotype, modular, módulo, nº, packaging, packing, photograph, points, power, preapproved, preceded, prior, radio, renewals, require, resources, scope, shown, specify, team, text, time, total, workstation, 01, 02, 04, 064, 150217, 33, 82, acceptable, action, actions, actual, adapter, added, adopted, affixed, aio, align, annex, applicant, application, apply, area, batterywell, best, bids, blue, bt, business, capability, cases, certificates, characteristics, choosen, chosen, clearly, click, color, combinations, comision, comms, complement, completed, comply, component, computer, comunicaciones, configuration, considered, constructive, contacts, contain, contained, containing, content, coordinates, cord, core, created, defined, described, description, detailed, details, din, directly, distribution, doc, egistration, endproduct, eng0011633, eng0011725, enter, equirement, examples, exclusively, external, family, faq, fast, figurations, fit, followed, following, functional, gov, gray, guidelines, homologation, host, imaging, immediately, impact, impacts, including, indicated, initial, institutional, instructions, internal, inventory, issued, kb, keyword, lead, leans, left, legible, level, location, make, manner, memory, mouse, nacional, needed"
Philippines__The_Philippines_Energy_Label_Program_Display_docx.txt,"D, Display, New, Sustaining, Refurbished, Importation, Importation, Market, New, Energy, No, Mandatory","energy, shall, product, registration, label, doe, pelp, applicant, display, company, power, payment, compliance, epred, rounded, online, request, required, monitors, products, program, receipt, test, application, business, date, labeling, measured, performance, plan, standby, verification, consumption, copy, details, following, indicated, information, nearest, order, based, documents, eef, equipment, form, philippine, philippines, report, requirement, requirements, testing, efficiency, enforcement, exit, official, platform, value, wireless, applicable, apply, bulletin, certificate, configuration, department, guidelines, hours, issued, link, minimum, model, models, needed, note, number, particular, proof, rated, restrictions, revision, rounding, sample, spec, submitted, type, 2024, action, add, approval, code, companies, confirmation, covered, current, data, dealers, delete, digital, distributors, eepr, email, exemption, expressed, implementing, importers, issuance, kwh, manufacturers, marketing, mepp, notes, oop, party, photocopy, procedures, retailers, rules, sales, screen, size, stakeholders, time, true, accredited, assumed, certified, chua, copies, daily, dc, electrical, ensure, evaluation, examples, followed, general, generated, including, inventory, key, kw, labels, launch, manufactured, market, mm, operating, phyllis, practice, present, prior, processing, provide, rating, reports, restriction, section, star, verdict, version, 001kwh, 02054, 06, 110, 15, 2020, 2405, ac, activity, administered, agency, agreement, alert, approve, area, arm, attach, authorized, battery, calculation, case, certification, circular, completeness, confluence, consuming, cope, cord, correctness, corresponding, corresponds, country, create, davs, day, days, decision, declared, dell, design, determined, develop, directly, discontinued, division, drives, duly, ecp, engineer, eumb, exempted, external, factor, final, government, han, high, hour, ig, imported, include, incorrect, industry, initial, institutional, iot, issue, laboratories, length, letter, local, m2, mail, mandatory, manufacturer, measures, mechanism, mep, mode, monitor, monitoring, mutual, necessary, new, non, odm, operate, origin, owned, owner, partnership"
Updated_process_for_EAEU_CoC_and_DoC_docx.txt,"ISG, CPG, AIO, Display, Desktop, Dock, Fixed, Ext, External, Gateway, Internal, KMM, Indust, PDP, Sound, Mobile, PDU, Stylus, Networking, Webcam, Notebook, Power, Wired, Rugged, Power, Wired, ServerA, Wired, ServerB, UPS, Wired, Storage, Cable, Tablet, AIO, Carrying, Disk, IO, Optical, Optical, Solid, New, Sustaining, Importation, Importation, Update, EMC, Safety, Materials, No, Mandatory","process, certification, eaeu, bodies, compliance, date, 2022, needed, coc, dell, doc, regulatory, requirements, shall, wireless, based, product, russia, belarus, bulletin, delete, engineers, factory, rces, required, sample, samples, spec, test, used, add, july, kelleher, local, nemko, peter, products, regulation, requirement, russian, sent, task, use, 01588, agencies, agency, arm, armcert, armenia, body, case, certified, change, confluence, cord, core, countries, current, details, drives, enforcement, examples, final, handling, inspection, iot, kazakhstan, key, kyrgyzstan, marking, non, note, obtain, odm, penalties, power, previous, psu, publication, representative, revision, scope, status, surveillance, teams, testing, updated, video, ws, 0002, 10, 13, 170407, 190527, 22, access, accordance, act, action, adapter, address, affected, agent, agreement, allowed, applicable, application, applications, applied, applies, apply, area, arising, armenian, arrangements, assignments, august, authorised, bags, bar, battery, bids, buising, bulletins, cable, cancels, cards, cart, cartridge, certificate, certificates, changed, checkpoint, chromebook, client, com, companion, competitor, concerns, conditions, configuration, costs, country, covers, cp, created, crm, customs, cut, data, declaration, deliverable, dependency, described, design, detailed, determine, device, devices, different, direct, disadvantage, display, docs, documentation, dongle, drive, electronics, engineer, ensure, example, existing, expected, external, federal, filter, finalize, firmware, followed, fulfill, government, grc, grs, gtie, hard, headset, high, https, identify, impact, impacted, include, includes, initially, instructions, intelligent, international, items, jumper, june, kb, kvm, lab, label, labeling, lead, leadtime, legislation, level, line, link, lob, mandatory, mark, market, meet, met, monitor, moscow, mouse, mutual, new, npi, number, obtained, office, open, owner, owners, parts, pass, pc, pdu, peripherals, permanent, plan, platform, platforms, prepare, print, program, programs, project, projects, protection, pstn, quantity, questions, rdoc, received"
Greece___Waste_Framework_Directive_requirement_for_notification_of_spare_parts_and_software_upgrades___Right_to_repair_docx.txt,"Dell, Internal, Market, New, Mandatory, New, Sustaining, All","product, dell, available, parts, software, spare, date, updates, time, writing, length, compliance, market, purchased, required, requirement, requirements, products, appropriate, customer, end, inform, reseller, update, years, 2021, bulletin, communication, contact, details, directive, enforcement, framework, greece, inventory, note, placed, regulation, regulatory, repair, right, site, supplier, task, waste, 01078, 2109, action, agency, apply, battery, bryan, comes, confluence, current, distribution, documentation, engineer, external, factory, greek, iot, jonathan, key, l10, l6, label, make, means, method, needed, notification, october, owned, owners, perry, plan, process, psu, purchase, rdoc, regan, report, sample, summary, surveillance, team, upgrades, user, ws, 15, 2018, 21, 23, 4619, 851, addition, address, agent, allows, applies, approved, area, arise, arm, artwork, assignments, audit, availability, bids, bios, box, brown, center, certification, cfi, chain, changed, client, com, communicated, concerns, configuration, content, cord, crm, dcs, decide, declaration, deliverable, deliverables, dependency, design, detailed, dev, disclose, display, distributor, document, doi, driver, drivers, dss, dt, edg, electronic, emc, emea, engineering, eu, examples, existing, factories, filing, flexibility, form, fulfill, fulfillment, government, grc, group, gsg, gtie, hdell, hemc, high, https, hub, id, idd, identify, impact, importation, include, info, initially, instructions, internal, issued, item, l11, l3, lab, law, lead, legal, legislative, level, link, logistics, mailbox, mandatory, manufacturing, marketing, merge, non, number, odmf, oem, online, operations, packaging, paper, pc, penalities, penalties, period, peripherals, platform, procurement, program, project, provide, provided, providing, quantity, questions, rce, reference, registration, remove, reoccurring, revision, rfid, sales, scope, seri, service, services, sheet, shipping, shown, sme, sold, specific, stakeholder, stakeholders, status, supply, support, table, target, tasks, teams, tech, testing, timeframe, times, title, trade"
New_Zealand_Lithium_Ion_Battery_bulletin_docx.txt,"Internal, Safety, Mandatory, NB, Other, New, Sustaining, Service","ion, lithium, battery, sdoc, polymer, nzs, 2016, batteries, eess, impact, required, 4417, declaration, nz, product, supplier, declared, new, notice, regulations, requirements, risk, zealand, 12, 2012, additional, articles, captured, compliance, conformity, electricity, low, medium, number, plan, rcm, safety, schedule, voltage, yes, appliances, apply, date, defined, fittings, forms, gazette, indicate, items, requirement, sample, scope, standard, standards, 2010, acma, amendments, applicable, attached, change, comments, completion, database, deliverable, dell, effective, energysafety, form, govt, http, including, level, listed, matrix, registration, regulatory, resources, sale, stakeholder, www, 01, 60950, 62133, 83, action, align, annex, appliance, arrangements, attach, aug, australia, available, b3, based, block, bulletin, complete, configuration, cut, definition, documents, electrical, energy, equipment, extra, fitting, function, grouping, hard, iec, included, iot, item, lead, letter, listing, needed, note, notices, particular, proof, psu, record, regulation, report, require, responsible, soft, specifications, template, test, time, total, transition, ws, 160705, 183, 2015, 29, 3820, 425354, 4th, abn, accompanied, acts, added, address, agents, agile, amd, amendment, appendix, applications, applies, appropriate, area, article, audit, author, authorisation, authorization, bids, categorize, certificate, certification, changed, client, codes, companion, complies, concerns, considered, contacts, cord, correct, cross, ctrical, current, declare, deliverables, demonstrating, design, distribution, documentation, dt, e1246, ele, electronic, embed, energysource, engineer, er, esr, example, excerpt, explanation, external, faqs, final, fitted, functional, generate, government, guidance, help, id, identified, implementation, importers, include, inform, initially, internal, inventory, involved, irdn, issued, issuer, july, kb, keyword, label, labelled, legislation, li, limited, lin, linda_ch, link, links, mandatory, manufacturers, mark, marked, market, model, need, non, obtain, offer, offered, ongoing, owner, pack, packaging, pages, pc, pdf, place"
Jamaica_SMA_Labeling_Marking_Optional_Requirement_docx.txt,"Dell, Wireless, Voluntary, Mobile, Notebook, Tablet, ServerB, Storage, I, BT, NFC, WWAN, WiGig, Other, New","sma, jamaica, type, impact, product, approval, equipment, approved, labeling, 2018, marking, module, number, radio, requirement, optional, plan, 07, 16, authority, battery, bulletin, communication, date, device, devices, gps, guideline, identifier, imported, iot, label, management, process, psu, record, registration, scope, specify, specifying, spectrum, states, update, wireless, ws, 01, 17, 180216, 4g, action, actions, address, application, april, area, author, avoid, bids, case, cellphones, certificate, changed, client, comments, compliance, computer, concerns, confirmed, contacts, contained, contains, cord, cover, current, customs, delays, deliverable, dell, design, distribution, documentation, documents, dt, effective, embed, embedded, engineer, execute, explanation, export, external, extra, government, grs, guide, hayat, host, id, importation, indicates, initially, internal, inventory, issue, issued, keyless, keyword, links, lte, mandatory, manufacturers, mark, mubariz, nguyen, note, officers, pc, platform, portfolio, printer, questions, receipt, recommend, reference, regulatory, remotes, required, requirements, rfid, satisfies, search, seeking, seizure, selection, set, space, stand, standards, teams, technical, thanh, title, voluntary, wlan"
